x,y,name,color,xx,yy,line
-0.010214353,0.016234308,Ocean's Twelve,0,-0.014235295,-0.008582365,0
-0.010186989,0.014590413,Contact,0,-0.01475367,-0.009593348,0
-0.009968744,0.01572553,Pearl Harbor,0,-0.013141271,-0.008098682,0
-0.009962902,0.01431987,The Painted Veil,0,-0.014327516,-0.008384039,0
-0.007164656,0.013599387,Mamma Mia!,0,-0.013772025,-0.008654627,0
-0.00933883,0.012506469,Days of Being Wild,0,-0.01398782,-0.008938108,0
-0.0085593555,0.013291693,The Guard,0,-0.013762842,-0.009149895,0
-0.009349168,0.015284065,The Nightmare Before Christmas,0,-0.01475367,-0.009593348,0
-0.0034768067,0.011706526,Gate Keepers 21,0,-0.01475367,-0.009593348,0
-0.002913057,0.012403953,Evangelion: 2.0 You Can (Not) Advance,0,-0.013141271,-0.008098682,0
-0.012209877,0.018263124,Prince of Persia: The Sands of Time,0,-0.01475367,-0.009593348,0
0.006974864,-0.008158765,Brian Drummond,0,-0.01475367,-0.009593348,0
-0.010992324,0.015972896,"Paris, je t'aime",0,-0.014327516,-0.008384039,0
-0.010944963,0.017128332,Alexander,0,-0.01475367,-0.009593348,0
-0.0062582484,0.014110859,Live and Let Die,0,-0.01475367,-0.009593348,0
-0.011819334,0.01746102,The Golden Compass,0,-0.014327516,-0.008384039,0
-0.011922474,0.015818782,Reversal of Fortune,0,-0.01475367,-0.009593348,0
-0.0073914593,0.013231363,Never Say Never Again,0,-0.01475367,-0.009593348,0
-0.010778186,0.015197701,The Pianist,0,-0.013763312,-0.0083668195,0
-0.010296344,0.017698323,Percy Jackson & the Olympians: The Lightning Thief,0,-0.013314164,-0.008031187,0
-0.011404541,0.01717882,"Crouching Tiger, Hidden Dragon",0,-0.014040449,-0.008240979,0
-0.011634672,0.018334048,The Prince of Egypt,0,-0.013033594,-0.009130335,0
-0.006023762,0.014212504,From Russia with Love,0,-0.01475367,-0.009593348,0
-0.008072028,0.013342724,"Good Night, and Good Luck",0,-0.01475367,-0.009593348,0
-0.004218286,0.008957792,Salmon Fishing in the Yemen,0,-0.01475367,-0.009593348,0
-0.010758008,0.015524516,Training Day,0,-0.014040449,-0.008240979,0
-0.0082824305,0.014525264,Click,0,-0.013769127,-0.008528833,0
-0.009827066,0.015523214,The Kids Are All Right,0,-0.01475367,-0.009593348,0
-0.0046329484,0.0113826245,Pineapple Express,0,-0.013892416,-0.008152291,0
-0.0053826487,0.011927493,The Hangover Part II,0,-0.01475367,-0.009593348,0
-0.0061797686,0.011554171,Lords of Dogtown,0,-0.01475367,-0.009593348,0
-0.007224672,0.013824615,Frankenweenie,0,-0.01475367,-0.009593348,0
-0.010503128,0.015471089,MASH,0,-0.01475367,-0.009593348,0
-0.009216416,0.01433279,Seabiscuit,0,-0.01475367,-0.009593348,0
-0.008761868,0.014822054,I Now Pronounce You Chuck and Larry,0,-0.01475367,-0.009593348,0
-0.011896736,0.015012392,Taxi Driver,0,-0.014234109,-0.008448136,0
-0.008733783,0.013582043,The Maltese Falcon,0,-0.01475367,-0.009593348,0
-0.00820685,0.016198918,For Your Eyes Only,0,-0.014235295,-0.008582365,0
-0.008142657,0.014290464,Godzilla,0,-0.014234109,-0.008448136,0
0.0033352014,-0.0038208645,David Henrie,0,-0.01475367,-0.009593348,0
-0.008040843,0.012227671,Submarine,0,-0.01475367,-0.009593348,0
-0.008605215,0.015130803,Terminator Salvation,0,-0.014235295,-0.008582365,0
-0.0075315093,0.015574147,The World Is Not Enough,0,-0.014037185,-0.007943785,0
-0.008479503,0.0168929,Blade II,0,-0.01343747,-0.008327329,0
-0.010622056,0.014156625,The Sand Pebbles,0,-0.01475367,-0.009593348,0
0.009199785,-0.009361053,Michael Cera,0,-0.01475367,-0.009593348,0
-0.0103641935,0.014434328,Victor Victoria,0,-0.01475367,-0.009593348,0
-0.0070727775,0.013167136,X-Men: First Class,0,-0.014327516,-0.008384039,0
-0.01207275,0.017571092,The Talented Mr. Ripley,0,-0.01475367,-0.009593348,0
-0.011165987,0.015146853,House of Sand and Fog,0,-0.01475367,-0.009593348,0
-0.0093981745,0.016043149,Children of Men,0,-0.014234109,-0.008448136,0
-0.011086096,0.017879125,Mission: Impossible III,0,-0.014235295,-0.008582365,0
-0.007318401,0.012763436,RoboCop,0,-0.01475367,-0.009593348,0
-0.011346393,0.014818277,The Exorcist,0,-0.013763312,-0.0083668195,0
-0.008014482,0.015598088,Quantum of Solace,0,-0.014235295,-0.008582365,0
-0.0068356283,0.0120383045,The Orphanage,0,-0.014234109,-0.008448136,0
-0.0103487,0.016477793,Bob Roberts,0,-0.01475367,-0.009593348,0
-0.009462319,0.013245272,Evil Angels,0,-0.01475367,-0.009593348,0
-0.006620422,0.012175689,The Dreamers,0,-0.01475367,-0.009593348,0
-0.009765433,0.015044364,Black Swan,0,-0.014235295,-0.008582365,0
-0.0111742895,0.015710251,Back to the Future,0,-0.01475367,-0.009593348,0
-0.006947383,0.010507705,Stop! Or My Mom Will Shoot,0,-0.01475367,-0.009593348,0
-0.00973033,0.014164754,Lilo & Stitch,0,-0.01475367,-0.009593348,0
-0.012079784,0.017175766,The Guns of Navarone,0,-0.013772025,-0.008654627,0
-0.011346393,0.014818277,The Exorcist,0,-0.014327516,-0.008384039,0
-0.009899309,0.014482873,Ironclad,0,-0.013248056,-0.009163515,0
-0.011862421,0.015364391,All the President's Men,0,-0.01475367,-0.009593348,0
-0.012591045,0.018149983,Around the World in 80 Days,0,-0.013128826,-0.0074949176,0
-0.0055961944,0.0136068035,MegaMan NT Warrior,0,-0.013763312,-0.0083668195,0
-0.010606972,0.015801525,Broadcast News,0,-0.01475367,-0.009593348,0
-0.0086101275,0.015224395,"I, Robot",0,-0.01475367,-0.009593348,0
-0.0093981745,0.016043149,Children of Men,0,-0.013532395,-0.0077048456,0
-0.010440122,0.014887327,Fanny and Alexander,0,-0.013763312,-0.0083668195,0
-0.0048061404,0.011534994,50/50,0,-0.01475367,-0.009593348,0
0.0061534103,-0.007351802,Cate Blanchett,0,-0.01475367,-0.009593348,0
-0.006612114,0.012686963,She's Having a Baby,0,-0.01475367,-0.009593348,0
-0.0052387095,0.011549681,The Hunger Games,0,-0.01475367,-0.009593348,0
-0.011711241,0.018232413,Pirates of the Caribbean: At World's End,0,-0.01475367,-0.009593348,0
-0.010094543,0.014581236,Driving Miss Daisy,0,-0.01475367,-0.009593348,0
-0.009896152,0.015886,Pulp Fiction,0,-0.014234109,-0.008448136,0
-0.009584485,0.016595209,Rush Hour 2,0,-0.014040449,-0.008240979,0
-0.010436694,0.015021073,Nixon,0,-0.01475367,-0.009593348,0
-0.0103641935,0.014434328,Victor Victoria,0,-0.014327516,-0.008384039,0
-0.010414896,0.015374235,Julie & Julia,0,-0.01475367,-0.009593348,0
-0.009709998,0.015273978,I Heart Huckabees,0,-0.014327516,-0.008384039,0
-0.0071851914,0.014023106,A Mighty Wind,0,-0.01475367,-0.009593348,0
0.008408403,-0.009710305,Carlos Alazraqui,0,-0.01475367,-0.009593348,0
-0.010329237,0.016328178,Munich,0,-0.014235295,-0.008582365,0
-0.009522053,0.013531746,Happy Together,0,-0.014040449,-0.008240979,0
-0.011027085,0.015950518,Dances with Wolves,0,-0.01475367,-0.009593348,0
-0.010014373,0.014656618,Hotel Rwanda,0,-0.014327516,-0.008384039,0
-0.0069626044,0.010599313,"Rich Man, Poor Man",0,-0.01475367,-0.009593348,0
-0.009086974,0.01585188,The Da Vinci Code,0,-0.014327516,-0.008384039,0
-0.010992324,0.0159729,"Paris, je t'aime",0,-0.013532395,-0.0077048456,0
-0.009524764,0.014369554,Big,0,-0.01475367,-0.009593348,0
0.0049843504,-0.0074792393,Claire Danes,0,-0.01475367,-0.009593348,0
-0.0098160375,0.015169955,David Copperfield,0,-0.01475367,-0.009593348,0
-0.010139155,0.015960546,Public Enemies,0,-0.01475367,-0.009593348,0
-0.009018095,0.015996275,Brothers,0,-0.01475367,-0.009593348,0
-0.010331778,0.01716666,The Brothers Grimm,0,-0.013763312,-0.0083668195,0
-0.009724275,0.01611798,Water for Elephants,0,-0.01475367,-0.009593348,0
-0.0073903827,0.012382929,Snow White and the Huntsman,0,-0.01475367,-0.009593348,0
-0.008869087,0.015547776,Fantastic Four: Rise of the Silver Surfer,0,-0.01475367,-0.009593348,0
-0.007822204,0.015518074,Spider-Man 3,0,-0.014327516,-0.008384039,0
-0.010593295,0.016054811,Con Air,0,-0.01475367,-0.009593348,0
-0.010665958,0.015375679,Bulworth,0,-0.01475367,-0.009593348,0
-0.010329237,0.016328178,Munich,0,-0.013033594,-0.009130335,0
-0.01051037,0.017214658,Mulholland Drive,0,-0.014234109,-0.008448136,0
-0.008052004,0.016236266,The Rocky Horror Picture Show,0,-0.01475367,-0.009593348,0
-0.011813028,0.015923442,Sophie's Choice,0,-0.014037185,-0.007943785,0
-0.011195734,0.016436197,Blood Diamond,0,-0.013251427,-0.008172385,0
-0.004885697,0.008720579,Temple Grandin,0,-0.01475367,-0.009593348,0
-0.010644218,0.015695043,Eastern Promises,0,-0.01475367,-0.009593348,0
-0.008111007,0.014646244,True Lies,0,-0.013763312,-0.0083668195,0
-0.0055359243,0.013523456,Bleach: Fade to Black,0,-0.01475367,-0.009593348,0
-0.0077975728,0.016573954,Looney Tunes: Back in Action,0,-0.007736336,-0.0032348626,0
-0.0087853195,0.014977777,Bewitched,0,-0.01475367,-0.009593348,0
-0.008722555,0.015503205,Batman Begins,0,-0.013860638,-0.008913199,0
-0.009697846,0.014673954,Missing,0,-0.014234109,-0.008448136,0
-0.011173115,0.01750851,"New York, I Love You",0,-0.014327516,-0.008384039,0
-0.00539173,0.011297105,Taken,0,-0.01475367,-0.009593348,0
-0.0063640215,0.011738941,Dragon Ball Z: Lord Slug,0,-0.013141271,-0.008098682,0
-0.007695861,0.01444816,Wreck-It Ralph,0,-0.01475367,-0.009593348,0
-0.008086556,0.01501376,Brave,0,-0.01475367,-0.009593348,0
-0.0062954715,0.011323174,Take Shelter,0,-0.01475367,-0.009593348,0
-0.0064761504,0.0141555,Anchorman: The Legend of Ron Burgundy,0,-0.01475367,-0.009593348,0
-0.003684062,0.00793525,Saw III,0,-0.01475367,-0.009593348,0
-0.007054675,0.014239156,The Incredible Hulk,0,-0.013769127,-0.008528833,0
-0.00997779,0.01531394,Frida,0,-0.014234109,-0.008448136,0
-0.007490719,0.010537631,Rust and Bone,0,-0.01475367,-0.009593348,0
-0.009941609,0.015355949,Finding Nemo,0,-0.01475367,-0.009593348,0
